,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
3504,1997,post,Dennis Scott,SF,29,Phoenix Suns,4,0,15.5,414.0,62.0,12664.2
3505,1997,post,Shawnelle Scott,C,25,Cleveland Cavaliers,1,0,3.0,57.0,3.0,238.2
3506,1997,post,Rony Seikaly,C,32,New Jersey Nets,3,0,12.3,310.0,36.900000000000006,9758.5
3507,1997,post,Dickey Simpkins,PF,25,Chicago Bulls,13,0,5.7,207.0,74.10000000000001,2093.7
3508,1997,post,Steve Smith,SG,28,Atlanta Hawks,4,4,40.0,411.0,160.0,15108.3
3509,1997,post,Rik Smits,C,31,Indiana Pacers,16,16,29.8,382.0,476.8,11162.899999999998
3510,1997,post,John Starks,SG,32,New York Knicks,10,2,31.4,432.0,314.0,13298.6
3511,1997,post,John Stockton,PG,35,Utah Jazz,20,20,29.8,451.0,596.0,15708.400000000001
3512,1997,post,Damon Stoudamire,PG,24,Portland Trailblazers,4,4,41.5,222.0,166.0,9015.9
3513,1997,post,Mark Strickland,PF,27,Miami Heat,3,0,9.3,90.0,27.900000000000002,1023.7000000000002
3514,1997,post,Bob Sura,SG,24,Cleveland Cavaliers,3,0,10.3,210.0,30.900000000000002,4385.8
3515,1997,post,Carl Thomas,SG,28,Cleveland Cavaliers,1,0,11.0,62.0,11.0,503.5999999999999
3516,1997,post,Nick Van Exel,PG,26,Los Angeles Lakers,13,0,28.2,401.0,366.59999999999997,14104.499999999998
3517,1997,post,Keith Van Horn,PF,22,New Jersey Nets,3,3,25.7,62.0,77.1,2325.0
3518,1997,post,David Vaughn,PF,24,New Jersey Nets,1,0,1.0,108.0,1.0,1052.8
3519,1997,post,Jacque Vaughn,PG,22,Utah Jazz,7,0,3.4,45.0,23.8,418.50000000000006
3520,1997,post,Rasheed Wallace,PF,23,Portland Trailblazers,4,4,39.3,208.0,157.2,6721.700000000001
3521,1997,post,Charlie Ward,PG,27,New York Knicks,10,10,26.1,249.0,261.0,5187.200000000001
3522,1997,post,Bill Wennington,C,34,Chicago Bulls,16,0,7.4,364.0,118.4,4984.8
3523,1997,post,David Wesley,PG,27,Charlotte Hornets,9,9,31.7,351.0,285.3,9880.2
3524,1997,post,Mark West,C,37,Indiana Pacers,4,0,2.8,291.0,11.2,4672.0
3525,1997,post,DeJuan Wheat,PG,24,Minnesota Timberwolves,1,0,3.0,34.0,3.0,149.60000000000002
3526,1997,post,Aaron Williams,PF,26,Seattle Supersonics,3,0,2.3,119.0,6.8999999999999995,1402.3000000000002
3527,1997,post,Buck Williams,PF,37,New York Knicks,3,0,15.0,370.0,45.0,9511.4
3528,1997,post,Hot Rod Williams,C,35,Phoenix Suns,3,0,11.0,364.0,33.0,10785.199999999999
3529,1997,post,Jayson Williams,C,29,New Jersey Nets,3,2,38.7,333.0,116.10000000000001,7501.4
3530,1997,post,Micheal Williams,PG,31,Minnesota Timberwolves,4,0,14.5,106.0,58.0,2585.1
3531,1997,post,Monty Williams,SF,26,San Antonio Spurs,5,0,5.6,217.0,28.0,3383.0
3532,1997,post,Travis Williams,SF,28,Charlotte Hornets,4,0,4.5,39.0,18.0,366.6
3533,1997,post,Walt Williams,SF,27,Portland Trailblazers,4,0,25.5,342.0,102.0,10454.8
3534,1997,post,Kevin Willis,PF,35,Houston Rockets,5,5,33.6,405.0,168.0,12541.899999999998
3535,1997,post,David Wingate,SG,34,Seattle Supersonics,3,0,4.3,314.0,12.899999999999999,4023.3
3536,1998,regular,Tariq Abdul-Wahad,SG,24,Sacramento Kings,49,49,24.6,59.0,1205.4,961.7000000000003
3537,1998,regular,Shareef Abdur-Rahim,SF,22,Vancouver Grizzlies,50,50,40.4,162.0,2020.0,5752.0
3538,1998,regular,Cory Alexander,PG,25,Denver Nuggets,36,4,21.6,209.0,777.6,3380.2000000000003
3539,1998,regular,Ray Allen,SG,23,Milwaukee Bucks,50,50,34.4,164.0,1720.0,5822.0
3540,1998,regular,Peter Aluma,C,25,Sacramento Kings,2,0,2.5,0.0,5.0,0.0
3541,1998,regular,Derek Anderson,SG,24,Cleveland Cavaliers,38,13,25.7,70.0,976.6,1944.6
3542,1998,regular,Kenny Anderson,PG,28,Boston Celtics,34,33,29.7,374.0,1009.8,13458.100000000002
3543,1998,regular,Nick Anderson,SF,31,Orlando Magic,47,39,33.6,395.0,1579.2,13463.5
3544,1998,regular,Shandon Anderson,SG,25,Utah Jazz,50,2,21.4,185.0,1070.0,3338.2
3545,1998,regular,Chris Anstey,C,24,Dallas Mavericks,41,4,11.5,41.0,471.5,680.5999999999999
3546,1998,regular,Greg Anthony,PG,31,Portland Trailblazers,50,0,16.1,400.0,805.0000000000001,8612.8
3547,1998,regular,BJ Armstrong,PG,31,TOT,32,1,11.2,390.0,358.4,10254.2
3550,1998,regular,Darrell Armstrong,PG,30,Orlando Magic,50,15,30.0,136.0,1500.0,2442.8
3551,1998,regular,Keith Askins,SF,31,Miami Heat,33,13,12.6,306.0,415.8,5780.499999999999
3552,1998,regular,Stacey Augmon,SF,30,Portland Trailblazers,48,21,18.2,398.0,873.5999999999999,10409.8
3553,1998,regular,Isaac Austin,C,29,Orlando Magic,49,49,25.7,189.0,1259.3,4635.700000000001
3554,1998,regular,Anthony Avent,PF,29,Utah Jazz,5,0,8.8,225.0,44.0,4097.2
3555,1998,regular,Thurl Bailey,PF,37,Utah Jazz,43,0,12.6,79.0,541.8,1295.6
3556,1998,regular,Toby Bailey,SG,23,Phoenix Suns,27,10,9.2,0.0,248.39999999999998,0.0
3557,1998,regular,LaMark Baker,PG,29,Toronto Raptors,1,0,2.0,0.0,2.0,0.0
3558,1998,regular,Vin Baker,PF,27,Seattle Supersonics,34,31,34.2,416.0,1162.8000000000002,15715.2
3559,1998,regular,Charles Barkley,PF,35,Houston Rockets,42,40,36.3,369.0,1524.6,13238.8
3560,1998,regular,Dana Barros,PG,31,Boston Celtics,50,16,23.1,347.0,1155.0,10564.1
3561,1998,regular,Brent Barry,SG,27,Chicago Bulls,37,30,31.9,199.0,1180.3,4672.3
3562,1998,regular,Drew Barry,SG,25,Seattle Supersonics,17,0,10.8,29.0,183.60000000000002,261.5
3563,1998,regular,Jon Barry,SG,29,Sacramento Kings,43,0,17.1,308.0,735.3000000000001,3925.2
3564,1998,regular,Tony Battie,C,22,Boston Celtics,50,15,22.4,65.0,1120.0,1508.0
3565,1998,regular,Corey Beck,PG,27,TOT,24,0,7.5,70.0,180.0,796.3
3568,1998,regular,Benoit Benjamin,C,34,Philadelphia 76ers,6,0,5.5,243.0,33.0,5657.2
3569,1998,regular,Corey Benjamin,PG,20,Chicago Bulls,31,1,10.3,0.0,319.3,0.0
3570,1998,regular,Mario Bennett,PF,25,Chicago Bulls,3,0,6.3,70.0,18.9,603.4
3571,1998,regular,Travis Best,PG,26,Indiana Pacers,49,0,21.3,238.0,1043.7,4553.3
3572,1998,regular,Mike Bibby,PG,20,Vancouver Grizzlies,50,50,35.2,0.0,1760.0000000000002,0.0
3573,1998,regular,Chauncey Billups,SG,22,Denver Nuggets,45,41,33.1,80.0,1489.5,2216.0
3574,1998,regular,Mookie Blaylock,PG,31,Atlanta Hawks,48,48,36.7,428.0,1761.6000000000001,16195.1
3575,1998,regular,Corie Blount,PF,30,TOT,34,3,15.6,343.0,530.4,4568.5
3578,1998,regular,Muggsy Bogues,PG,34,Golden State Warriors,36,5,19.8,293.0,712.8000000000001,9103.7
3579,1998,regular,Etdrick Bohannon,SF,25,Washington Wizards,2,0,2.0,5.0,4.0,11.0
3580,1998,regular,Keith Booth,SF,24,Chicago Bulls,39,4,11.1,6.0,432.9,16.80000000000001
3581,1998,regular,Bruce Bowen,SF,27,Boston Celtics,30,1,16.5,62.0,495.0,1306.3999999999999
3582,1998,regular,Earl Boykins,PG,22,TOT,22,0,10.0,0.0,220.0,0.0
3585,1998,regular,Shawn Bradley,C,26,Dallas Mavericks,49,33,26.4,347.0,1293.6,10187.7
3586,1998,regular,Terrell Brandon,PG,28,TOT,36,34,33.8,349.0,1216.8,10919.8
3589,1998,regular,Chucky Brown,PF,30,Charlotte Hornets,48,21,24.8,304.0,1190.4,5343.800000000001
3590,1998,regular,Dee Brown,PG,30,Toronto Raptors,49,0,28.1,318.0,1376.9,9661.3
3591,1998,regular,Gerald Brown,SG,23,Phoenix Suns,33,0,7.2,0.0,237.6,0.0
3592,1998,regular,PJ Brown,PF,29,Miami Heat,50,50,32.2,418.0,1610.0000000000002,13005.7
3593,1998,regular,Randy Brown,PG,30,Chicago Bulls,39,32,29.2,386.0,1138.8,5292.299999999999
3594,1998,regular,Rick Brunson,PG,26,New York Knicks,17,0,5.6,38.0,95.19999999999999,623.1999999999998
3595,1998,regular,Kobe Bryant,SG,20,Los Angeles Lakers,50,50,37.9,170.0,1895.0,3507.7
3596,1998,regular,Mark Bryant,PF,33,Chicago Bulls,45,29,26.8,332.0,1206.0,6158.6
3597,1998,regular,Jud Buechler,SF,30,Detroit Pistons,50,0,21.1,378.0,1055.0,3311.5
3598,1998,regular,Matt Bullard,PF,31,Houston Rockets,41,0,10.1,270.0,414.09999999999997,3586.2
3599,1998,regular,Scott Burrell,SF,28,New Jersey Nets,32,10,22.1,294.0,707.2,5770.9
3600,1998,regular,Willie Burton,SF,30,Charlotte Hornets,3,0,6.0,145.0,18.0,2696.2000000000003
3601,1998,regular,Mitchell Butler,SG,28,Cleveland Cavaliers,31,1,13.5,281.0,418.5,4405.2
3602,1998,regular,Jason Caffey,PF,25,Golden State Warriors,35,32,25.0,229.0,875.0,3540.2999999999993
3603,1998,regular,Marcus Camby,C,24,New York Knicks,46,0,20.5,126.0,943.0,3899.7000000000007
3604,1998,regular,Elden Campbell,C,30,TOT,49,33,29.8,425.0,1460.2,12283.199999999999
3607,1998,regular,Antoine Carr,PF,37,Houston Rockets,18,0,8.4,406.0,151.20000000000002,7288.7
3608,1998,regular,Chris Carr,SG,24,TOT,39,4,11.4,170.0,444.6,2625.3
3611,1998,regular,Cory Carr,SG,23,Chicago Bulls,42,7,14.9,0.0,625.8000000000001,0.0
3612,1998,regular,Vince Carter,SF,22,Toronto Raptors,50,49,35.2,0.0,1760.0000000000002,0.0
3613,1998,regular,Sam Cassell,PG,29,TOT,8,3,24.9,400.0,199.2,10202.1
3616,1998,regular,Kelvin Cato,C,24,Portland Trailblazers,43,0,12.7,78.0,546.1,1064.4
3617,1998,regular,Duane Causwell,C,30,Miami Heat,19,1,7.2,258.0,136.8,3506.2999999999997
3618,1998,regular,Cedric Ceballos,SF,29,Dallas Mavericks,13,5,27.1,315.0,352.3,9476.900000000001
3619,1998,regular,Rex Chapman,SG,31,Phoenix Suns,38,35,31.1,304.0,1181.8,9794.099999999999
3620,1998,regular,Calbert Cheaney,SG,27,Washington Wizards,50,18,25.3,377.0,1265.0,11948.2
3621,1998,regular,Pete Chilcutt,PF,30,Vancouver Grizzlies,46,0,15.2,375.0,699.1999999999999,5782.400000000001
3622,1998,regular,Chris Childs,PG,31,New York Knicks,48,0,27.0,284.0,1296.0,7686.6
3623,1998,regular,Doug Christie,SG,28,Toronto Raptors,50,50,35.4,293.0,1770.0,8700.9
3624,1998,regular,Keon Clark,C,23,Denver Nuggets,28,0,14.6,0.0,408.8,0.0
3625,1998,regular,Keith Closs,C,22,Los Angeles Clippers,15,0,5.8,58.0,87.0,742.4000000000001
3626,1998,regular,John Coker,C,27,Washington Wizards,14,0,7.0,5.0,98.0,11.0
3627,1998,regular,Derrick Coleman,PF,31,Charlotte Hornets,37,29,31.8,264.0,1176.6000000000001,9591.3
3628,1998,regular,Bimbo Coles,PG,30,Golden State Warriors,48,32,26.5,334.0,1272.0,9348.1
3629,1998,regular,Marty Conlon,C,31,Miami Heat,7,0,5.0,281.0,35.0,5467.9
3630,1998,regular,Tyrone Corbin,SF,36,Atlanta Hawks,47,6,22.7,418.0,1066.8999999999999,10826.300000000001
3631,1998,regular,James Cotton,SG,23,Seattle Supersonics,10,0,5.9,9.0,59.0,33.30000000000001
3632,1998,regular,Chris Crawford,PF,23,Atlanta Hawks,42,30,18.7,41.0,785.4,260.0000000000001
3633,1998,regular,Austin Croshere,PF,23,Indiana Pacers,27,0,9.2,26.0,248.39999999999998,241.8
3634,1998,regular,John Crotty,PG,29,TOT,27,0,14.1,285.0,380.7,3178.9
3637,1998,regular,Terry Cummings,PF,37,Golden State Warriors,50,0,20.2,374.0,1010.0,6814.1
3638,1998,regular,William Cunningham,C,24,TOT,16,6,10.1,7.0,161.6,39.19999999999999
3641,1998,regular,Bill Curley,PF,26,Minnesota Timberwolves,35,7,10.6,66.0,371.0,746.8999999999999
3642,1998,regular,Dell Curry,SG,34,Milwaukee Bucks,42,0,20.6,369.0,865.2,9642.4
3643,1998,regular,Michael Curry,SF,30,Milwaukee Bucks,50,4,22.9,224.0,1145.0,4066.1000000000004
3644,1998,regular,Erick Dampier,C,23,Golden State Warriors,50,50,28.3,154.0,1415.0,3708.0
3645,1998,regular,Antonio Daniels,PG,23,San Antonio Spurs,47,0,13.1,74.0,615.6999999999999,1953.6
3646,1998,regular,Kornel David,SF,27,Chicago Bulls,50,6,18.0,0.0,900.0,0.0
3647,1998,regular,Antonio Davis,PF,30,Indiana Pacers,49,1,25.9,425.0,1269.1,10735.400000000001
3648,1998,regular,Ben Davis,PF,26,New York Knicks,8,0,2.6,27.0,20.8,111.3
3649,1998,regular,Dale Davis,PF,29,Indiana Pacers,50,50,27.5,430.0,1375.0,13741.800000000001
3650,1998,regular,Hubert Davis,SG,28,Dallas Mavericks,50,21,27.6,371.0,1380.0,8534.5
3651,1998,regular,Mark Davis,SF,25,Miami Heat,4,1,8.8,203.0,35.2,3181.3
3652,1998,regular,Ricky Davis,SG,19,Charlotte Hornets,46,1,12.1,0.0,556.6,0.0
3653,1998,regular,Terry Davis,C,31,Washington Wizards,37,34,15.6,163.0,577.1999999999999,3069.3
3654,1998,regular,Andrew DeClercq,C,25,TOT,47,32,23.4,174.0,1099.8,2790.2
3657,1998,regular,Terry Dehere,SG-PG,27,TOT,26,0,11.2,378.0,291.2,7020.1
3660,1998,regular,Vinny Del Negro,PG,32,Milwaukee Bucks,48,7,22.8,398.0,1094.4,12180.300000000001
3661,1998,regular,Bison Dele,C,29,Detroit Pistons,49,48,24.0,329.0,1176.0,8350.099999999999
3662,1998,regular,Tony Delk,PG,25,Golden State Warriors,36,13,17.5,141.0,630.0,2629.7
3663,1998,regular,Michael Dickerson,SG,23,Houston Rockets,50,50,31.2,0.0,1560.0,0.0
3664,1998,regular,Vlade Divac,C,30,Sacramento Kings,50,50,35.2,409.0,1760.0000000000002,13578.600000000002
3665,1998,regular,Michael Doleac,C,21,Orlando Magic,49,0,15.9,0.0,779.1,0.0
3666,1998,regular,Sherman Douglas,PG,32,Los Angeles Clippers,30,19,28.1,388.0,843.0,11482.1
3667,1998,regular,Bryce Drew,PG,24,Houston Rockets,34,0,13.0,0.0,442.0,0.0
3668,1998,regular,Chris Dudley,C,33,New York Knicks,46,16,14.9,322.0,685.4,7310.4
3669,1998,regular,Joe Dumars,SG,35,Detroit Pistons,38,38,29.4,362.0,1117.2,12916.9
3670,1998,regular,Tim Duncan,PF,22,San Antonio Spurs,50,50,39.3,91.0,1964.9999999999998,3580.6000000000004
3671,1998,regular,Blue Edwards,SF,33,Miami Heat,24,0,11.8,377.0,283.20000000000005,9645.5
3672,1998,regular,Howard Eisley,PG,26,Utah Jazz,50,0,20.8,336.0,1040.0,5105.7
3673,1998,regular,Mario Elie,SG,35,San Antonio Spurs,47,37,27.5,418.0,1292.5,11540.0
3674,1998,regular,Sean Elliott,SF,30,San Antonio Spurs,50,50,30.2,331.0,1510.0,11538.6
3675,1998,regular,Dale Ellis,SF,38,Seattle Supersonics,48,5,25.7,417.0,1233.6,12440.4
3676,1998,regular,LaPhonso Ellis,PF,28,Atlanta Hawks,20,20,27.0,273.0,540.0,9043.0
3677,1998,regular,Brian Evans,SF,25,TOT,16,0,9.1,91.0,145.6,962.5000000000001
3680,1998,regular,Patrick Ewing,C,36,New York Knicks,38,38,34.2,395.0,1299.6000000000001,14657.699999999999
3681,1998,regular,Jamie Feick,PF-C,24,TOT,28,16,30.4,86.0,851.1999999999999,1073.1999999999998
3684,1998,regular,Duane Ferrell,SF,33,Golden State Warriors,8,0,5.8,320.0,46.4,4262.4
3685,1998,regular,Danny Ferry,PF,32,Cleveland Cavaliers,50,10,21.2,396.0,1060.0,8800.1
3686,1998,regular,Michael Finley,SF,25,Dallas Mavericks,50,50,41.0,247.0,2050.0,9398.0
3687,1998,regular,Derek Fisher,PG,24,Los Angeles Lakers,50,21,22.6,181.0,1130.0,2995.3999999999996
3688,1998,regular,Danny Fortson,PF,22,Denver Nuggets,50,38,28.3,80.0,1415.0,1808.0
3689,1998,regular,Greg Foster,PF,30,Utah Jazz,42,1,10.9,363.0,457.8,5049.5
3690,1998,regular,Rick Fox,SF,29,Los Angeles Lakers,44,1,21.5,387.0,946.0,11516.1
3691,1998,regular,Adonal Foyle,C,23,Golden State Warriors,44,0,14.0,55.0,616.0,654.5
3692,1998,regular,Todd Fuller,C,24,Utah Jazz,42,2,11.0,132.0,462.0,1568.1
3693,1998,regular,Lawrence Funderburke,PF,28,Sacramento Kings,47,2,19.9,52.0,935.3,1092.0
3694,1998,regular,Kevin Garnett,PF,22,Minnesota Timberwolves,47,47,37.9,247.0,1781.3,8833.0
3695,1998,regular,Marlon Garnett,PG,23,Boston Celtics,24,0,8.5,0.0,204.0,0.0
3696,1998,regular,Dean Garrett,C,32,Minnesota Timberwolves,49,37,21.5,153.0,1053.5,4416.1
3697,1998,regular,Pat Garrity,PF,22,Phoenix Suns,39,9,13.8,0.0,538.2,0.0
3698,1998,regular,Chris Gatling,C,31,TOT,48,3,16.1,324.0,772.8000000000001,7032.9000000000015
3701,1998,regular,Andrew Gaze,SG,33,San Antonio Spurs,19,0,3.1,7.0,58.9,70.0
3702,1998,regular,Matt Geiger,C,29,Philadelphia 76ers,50,40,30.8,359.0,1540.0,8208.7
3703,1998,regular,Kendall Gill,SF,30,New Jersey Nets,50,47,32.1,374.0,1605.0,12492.7
3704,1998,regular,Armen Gilliam,PF,34,Milwaukee Bucks,34,5,19.6,408.0,666.4000000000001,11566.6
3705,1998,regular,Brian Grant,PF,26,Portland Trailblazers,48,46,31.8,251.0,1526.4,7470.5
3706,1998,regular,Gary Grant,PG,33,Portland Trailblazers,2,0,3.5,213.0,7.0,3359.8999999999996
3707,1998,regular,Harvey Grant,PF,33,Philadelphia 76ers,47,10,17.0,386.0,799.0,9161.6
3708,1998,regular,Horace Grant,PF,33,Orlando Magic,50,50,33.2,390.0,1660.0000000000002,14449.3
3709,1998,regular,Paul Grant,C,25,TOT,6,0,2.2,0.0,13.200000000000001,0.0
3712,1998,regular,Ed Gray,SG,23,Atlanta Hawks,30,3,11.2,30.0,336.0,471.0
3713,1998,regular,AC Green,PF,35,Dallas Mavericks,50,35,18.5,435.0,925.0,13578.000000000002
3714,1998,regular,Litterial Green,PG,28,Cleveland Cavaliers,1,0,2.0,95.0,2.0,559.1
3715,1998,regular,Tom Gugliotta,PF,29,Phoenix Suns,43,43,36.3,358.0,1560.8999999999999,13033.8
3716,1998,regular,Tom Hammonds,PF,31,Minnesota Timberwolves,49,0,14.6,369.0,715.4,5986.9
3717,1998,regular,Anfernee Hardaway,SG,27,Orlando Magic,50,50,38.9,360.0,1945.0,13455.699999999999
3718,1998,regular,Tim Hardaway,PG,32,Miami Heat,48,48,36.9,329.0,1771.1999999999998,12051.399999999998
3719,1998,regular,Derek Harper,PG,37,Los Angeles Lakers,45,29,24.9,427.0,1120.5,13226.0
3720,1998,regular,Ron Harper,SG,35,Chicago Bulls,35,35,31.6,454.0,1106.0,11917.099999999999
3721,1998,regular,Matt Harpring,SF,22,Orlando Magic,50,22,22.3,0.0,1115.0,0.0
3722,1998,regular,Al Harrington,PF,18,Indiana Pacers,21,0,7.6,0.0,159.6,0.0
3723,1998,regular,Othella Harrington,PF,25,Houston Rockets,41,10,22.0,125.0,902.0,1803.2999999999997
3724,1998,regular,Lucious Harris,SG,28,New Jersey Nets,36,5,16.7,324.0,601.1999999999999,5417.199999999999
3725,1998,regular,Hersey Hawkins,SG,32,Seattle Supersonics,50,34,32.9,457.0,1645.0,15219.2
3726,1998,regular,Michael Hawkins,PG,26,Sacramento Kings,24,0,8.5,29.0,204.0,324.79999999999995
3727,1998,regular,Alan Henderson,SF,26,Atlanta Hawks,38,37,30.1,202.0,1143.8,4323.1
3728,1998,regular,Cedric Henderson,SF,23,Cleveland Cavaliers,50,48,30.3,86.0,1515.0,2682.7999999999993
3729,1998,regular,JR Henderson,SF,22,Vancouver Grizzlies,30,0,11.0,0.0,330.0,0.0
3730,1998,regular,Mark Hendrickson,PF,24,New Jersey Nets,22,6,18.1,77.0,398.20000000000005,1040.8000000000002
3731,1998,regular,Steve Henson,PG,30,Detroit Pistons,4,0,6.3,63.0,25.2,462.6
3732,1998,regular,Carl Herrera,PF,32,TOT,28,0,11.0,342.0,308.0,5672.099999999999
3735,1998,regular,Grant Hill,SF,26,Detroit Pistons,50,50,37.0,319.0,1850.0,12703.6
3736,1998,regular,Tyrone Hill,PF,30,TOT,38,23,29.1,312.0,1105.8,9731.5
3739,1998,regular,Fred Hoiberg,SG,26,Indiana Pacers,12,0,7.3,129.0,87.6,1549.9
3740,1998,regular,Jerald Honeycutt,PF,24,TOT,16,0,6.4,38.0,102.4,528.2
3743,1998,regular,Jeff Hornacek,SG,35,Utah Jazz,48,48,29.9,484.0,1435.1999999999998,15888.5
3744,1998,regular,Robert Horry,PF,28,Los Angeles Lakers,38,5,19.6,417.0,744.8000000000001,13290.300000000001
3745,1998,regular,Allan Houston,SG,27,New York Knicks,50,50,36.3,422.0,1814.9999999999998,13016.0
3746,1998,regular,Juwan Howard,SF,25,Washington Wizards,36,36,39.7,295.0,1429.2,11653.2
3747,1998,regular,Troy Hudson,PG,22,Los Angeles Clippers,25,6,21.0,8.0,525.0,23.200000000000045
3748,1998,regular,Larry Hughes,PG,20,Philadelphia 76ers,50,1,19.8,0.0,990.0,0.0
3749,1998,regular,Lindsey Hunter,PG,28,Detroit Pistons,49,49,35.8,364.0,1754.1999999999998,11023.099999999999
3750,1998,regular,Zydrunas Ilgauskas,C,23,Cleveland Cavaliers,5,5,34.2,86.0,171.0,2525.2
3751,1998,regular,Allen Iverson,SG,23,Philadelphia 76ers,48,48,41.5,156.0,1992.0,6199.6
3752,1998,regular,Bobby Jackson,PG,25,Minnesota Timberwolves,50,12,18.8,68.0,940.0,2040.0
3753,1998,regular,Jaren Jackson,SG,31,San Antonio Spurs,47,13,18.3,224.0,860.1,4160.400000000001
3754,1998,regular,Jim Jackson,SG,28,Portland Trailblazers,49,9,24.0,371.0,1176.0,13754.5
3755,1998,regular,Mark Jackson,PG,33,Indiana Pacers,49,49,28.2,444.0,1381.8,14448.699999999997
3756,1998,regular,Randell Jackson,PF,23,Washington Wizards,27,8,10.0,0.0,270.0,0.0
3757,1998,regular,Sam Jacobson,PG,23,Los Angeles Lakers,2,0,6.0,0.0,12.0,0.0
3758,1998,regular,Jerome James,C,23,Sacramento Kings,16,0,2.6,0.0,41.6,0.0
3759,1998,regular,Antawn Jamison,SF,22,Golden State Warriors,47,24,22.5,0.0,1057.5,0.0
3760,1998,regular,Anthony Johnson,PG,24,Atlanta Hawks,49,2,18.1,77.0,886.9000000000001,2263.7999999999997
3761,1998,regular,Avery Johnson,PG,33,San Antonio Spurs,50,50,33.4,434.0,1670.0,14933.5
3762,1998,regular,Eddie Johnson,SF,39,Houston Rockets,3,0,6.0,284.0,18.0,5254.900000000001
3763,1998,regular,Ervin Johnson,C,31,Milwaukee Bucks,50,7,20.5,377.0,1025.0,7885.700000000001
3764,1998,regular,Larry Johnson,PF,29,New York Knicks,49,48,33.4,380.0,1636.6,14070.8
3765,1998,regular,Charles Jones,SG,23,Chicago Bulls,29,5,16.4,154.0,475.59999999999997,1692.4
3766,1998,regular,Damon Jones,PG,22,TOT,24,0,14.3,0.0,343.20000000000005,0.0
3769,1998,regular,Eddie Jones,SF-SG,27,TOT,50,50,37.6,330.0,1880.0,11279.599999999999
3772,1998,regular,Popeye Jones,PF,28,Boston Celtics,18,2,11.4,322.0,205.20000000000002,9245.5
3773,1998,regular,Adonis Jordan,PG,28,Milwaukee Bucks,4,0,4.5,6.0,18.0,79.19999999999999
3774,1998,regular,Reggie Jordan,SG,31,Minnesota Timberwolves,27,1,11.0,135.0,297.0,1208.8
3775,1998,regular,Adam Keefe,PF,28,Utah Jazz,44,0,14.6,413.0,642.4,7224.7
3776,1998,regular,Shawn Kemp,PF,29,Cleveland Cavaliers,42,42,35.1,446.0,1474.2,15112.8
3777,1998,regular,Jonathan Kerner,C,24,Orlando Magic,1,0,5.0,0.0,5.0,0.0
3778,1998,regular,Steve Kerr,PG,33,San Antonio Spurs,44,0,16.7,456.0,734.8,10261.9
3779,1998,regular,Jerome Kersey,SF,36,San Antonio Spurs,45,0,15.5,349.0,697.5,7043.9
3780,1998,regular,Jason Kidd,PG,25,Phoenix Suns,50,50,41.2,306.0,2060.0,11165.400000000001
3781,1998,regular,Chris King,SF,29,Utah Jazz,8,0,5.3,97.0,42.4,2020.5
3782,1998,regular,Gerard King,SF,26,San Antonio Spurs,19,0,3.3,0.0,62.699999999999996,0.0
3783,1998,regular,Kerry Kittles,SG,24,New Jersey Nets,46,40,34.1,162.0,1568.6000000000001,5945.9
3784,1998,regular,Joe Kleine,C,37,Phoenix Suns,31,5,12.1,330.0,375.09999999999997,3980.3000000000006
3785,1998,regular,Brevin Knight,PG,23,Cleveland Cavaliers,39,38,30.4,84.0,1185.6,2612.0
3786,1998,regular,Negele Knight,PG,31,Toronto Raptors,6,0,9.3,116.0,55.800000000000004,2254.2
3787,1998,regular,Travis Knight,C,24,Los Angeles Lakers,37,23,14.2,154.0,525.4,2752.2
3788,1998,regular,Toni Kukoc,SF,30,Chicago Bulls,44,44,37.6,443.0,1654.4,12405.099999999999
3789,1998,regular,Christian Laettner,PF,29,Detroit Pistons,16,0,21.1,405.0,337.6,13937.000000000002
3790,1998,regular,Raef LaFrentz,C,22,Denver Nuggets,12,12,32.3,0.0,387.59999999999997,0.0
3791,1998,regular,Andrew Lang,C,32,Chicago Bulls,21,13,18.4,358.0,386.4,8529.6
3792,1998,regular,Antonio Lang,PF,26,Cleveland Cavaliers,10,0,6.5,124.0,65.0,1297.3999999999999
3793,1998,regular,Rusty LaRue,PG,25,Chicago Bulls,43,6,17.0,14.0,731.0,140.0
3794,1998,regular,Tim Legler,SG,32,Washington Wizards,30,0,12.6,206.0,378.0,3746.3999999999996
3795,1998,regular,Voshon Lenard,SG,25,Miami Heat,12,2,15.8,206.0,189.60000000000002,5791.5
3796,1998,regular,Rashard Lewis,SF,19,Seattle Supersonics,20,7,7.3,0.0,146.0,0.0
3797,1998,regular,Randy Livingston,PG,23,Phoenix Suns,1,0,22.0,78.0,22.0,1075.8
3798,1998,regular,Grant Long,PF,32,Atlanta Hawks,50,13,27.6,359.0,1380.0,10422.7
3799,1998,regular,Luc Longley,C,30,Phoenix Suns,39,39,23.9,385.0,932.0999999999999,9023.0
3800,1998,regular,Felipe Lopez,SG,24,Vancouver Grizzlies,47,32,25.9,0.0,1217.3,0.0
3801,1998,regular,Tyronn Lue,PG,21,Los Angeles Lakers,15,0,12.5,0.0,187.5,0.0
3802,1998,regular,George Lynch,SF,28,Philadelphia 76ers,43,43,30.6,338.0,1315.8,6424.8
3803,1998,regular,Sam Mack,SF,28,TOT,44,15,24.6,146.0,1082.4,3233.2000000000003
