,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
613,1993,post,Sam Perkins,PF,32,Seattle Supersonics,5,0,28.2,81.0,141.0,2170.8
614,1993,post,Elliot Perry,PG,24,Phoenix Suns,4,0,3.3,27.0,13.2,432.0
615,1993,post,Bobby Phills,SG,24,Cleveland Cavaliers,3,2,22.7,72.0,68.1,1533.6000000000001
616,1993,post,Ricky Pierce,SG,34,Seattle Supersonics,5,0,14.8,51.0,74.0,1020.0
617,1993,post,Scottie Pippen,SF,28,Chicago Bulls,10,10,38.4,72.0,384.0,2757.6
618,1993,post,Terry Porter,PG,30,Portland Trailblazers,4,0,19.0,77.0,76.0,2071.2999999999997
619,1993,post,Mark Price,PG,29,Cleveland Cavaliers,3,3,34.0,76.0,102.0,2386.4
620,1993,post,Mark Randall,PF,26,Denver Nuggets,2,0,3.0,28.0,6.0,154.0
621,1993,post,JR Reid,PF,25,San Antonio Spurs,4,0,14.0,70.0,56.0,1344.0
622,1993,post,Glen Rice,SF,26,Miami Heat,5,5,39.0,81.0,195.0,2997.0
623,1993,post,Clifford Robinson,C,27,Portland Trailblazers,4,4,37.3,82.0,149.2,2853.6
624,1993,post,David Robinson,C,28,San Antonio Spurs,4,4,36.5,80.0,146.0,3240.0
625,1993,post,James Robinson,PG,23,Portland Trailblazers,4,0,7.0,58.0,28.0,672.8
626,1993,post,Dennis Rodman,PF,32,San Antonio Spurs,3,3,38.0,79.0,114.0,2986.2
627,1993,post,Rodney Rogers,SF,22,Denver Nuggets,12,0,15.8,79.0,189.60000000000002,1406.2000000000003
628,1993,post,Tree Rollins,C,38,Orlando Magic,3,0,9.7,45.0,29.099999999999998,382.5
629,1993,post,Donald Royal,SF,27,Orlando Magic,3,0,15.0,74.0,45.0,1354.2
630,1993,post,Bryon Russell,SF,23,Utah Jazz,6,0,6.0,67.0,36.0,1118.8999999999999
631,1993,post,John Salley,PF,29,Miami Heat,5,5,40.2,76.0,201.0,1907.6000000000004
632,1993,post,Steve Scheffler,C,26,Seattle Supersonics,1,0,9.0,35.0,9.0,150.5
633,1993,post,Detlef Schrempf,SF,31,Seattle Supersonics,5,5,34.8,81.0,174.0,2729.7000000000003
634,1993,post,Byron Scott,SG,32,Indiana Pacers,16,0,14.9,67.0,238.4,1199.3
635,1993,post,Dennis Scott,SF,25,Orlando Magic,3,3,33.0,82.0,99.0,2279.6
636,1993,post,Rony Seikaly,C,28,Miami Heat,5,3,33.0,72.0,165.0,2412.0
637,1993,post,Brian Shaw,SG,27,Miami Heat,5,5,22.4,77.0,112.0,2040.5
638,1993,post,Scott Skiles,PG,29,Orlando Magic,2,0,11.5,82.0,23.0,2304.2000000000003
639,1993,post,Charles Smith,SF,28,New York Knicks,25,18,24.5,43.0,612.5,1105.1
