,Date,Team,Relinquished,Notes,Player,Reg_games_missed,Post_games_missed,Out_for_season,Season,Year,Game_number,note_keyword,category,Pos,Age,Team_y,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
0,2010-08-03,Los Angeles Clippers,Craig Smith,arthroscopic surgery on right knee (out indefinitely),Craig Smith,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
1,2010-08-13,Dallas Mavericks,Rodrigue Beaubois,surgery on left foot to repair broken fifth metatarsal (out indefinitely),Rodrigue Beaubois,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
2,2010-08-14,Golden State Warriors,Ekpe Udoh,surgery on left wrist (out indefinitely),Ekpe Udoh,0.0,0.0,,off,2009,1,wrist,arm,,,,,,,,,
3,2010-09-21,Toronto Raptors,Ed Davis (a),arthroscopic surgery on right kene to repair torn meniscus (out indefinteily),Ed Davis,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
4,2010-09-21,Oklahoma City Thunder,Nenad Krstic,surgery on right hand to repair broken finger (out indefinitely),Nenad Krstic,0.0,0.0,,off,2009,1,hand,hand,,,,,,,,,
5,2010-09-24,Charlotte Bobcats,Kwame Brown,sprained left ankle (out indefinitely),Kwame Brown,0.0,0.0,,off,2009,1,ankle,lower leg,,,,,,,,,
6,2010-09-27,New York Knicks,Eddy Curry,strained right hamstring (out indefinitely),Eddy Curry,0.0,0.0,,off,2009,1,hamstring,upper leg,,,,,,,,,
7,2010-09-27,Houston Rockets,Brad Miller,sprained left ankle (DTD),Brad Miller,0.0,0.0,,off,2009,1,ankle,lower leg,,,,,,,,,
8,2010-09-29,Orlando Magic,Jason Williams,arthroscopic surgery on left knee (out indefinitely) (date approximate),Jason Williams,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
9,2010-10-03,Chicago Bulls,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),Carlos Boozer,0.0,0.0,,off,2009,1,finger,hand,,,,,,,,,
10,2010-10-06,Detroit Pistons,Jonas Jerebko,torn right Achilles tendon (out indefinitely),Jonas Jerebko,0.0,0.0,,off,2009,1,achilles,lower leg,,,,,,,,,
11,2010-10-06,Detroit Pistons,Terrico White,broken fifth metatarsal in right foot (out indefinitely),No Match,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
12,2010-10-08,Portland Trailblazers,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely),Jeff Ayres,0.0,0.0,,off,2009,1,ACL,knee,,,,,,,,,
13,2010-10-08,New Jersey Nets,Troy Murphy,strained lower back (out indefinitely),Troy Murphy,0.0,0.0,,off,2009,1,back,torso,,,,,,,,,
14,2010-10-08,Detroit Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,Jonas Jerebko,0.0,0.0,,off,2009,1,achilles,lower leg,,,,,,,,,
15,2010-10-08,Detroit Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,No Match,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
16,2010-10-09,Denver Nuggets,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),Al Harrington,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
17,2010-10-12,Milwaukee Bucks,Darington Hobson,surgery on left hip (out for season),Darington Hobson,0.0,0.0,,off,2009,1,hip,upper leg,,,,,,,,,
18,2010-10-12,Sacramento Kings,Samuel Dalembert,strained left groin (out indefinitely),Samuel Dalembert,0.0,0.0,,off,2009,1,groin,upper leg,,,,,,,,,
19,2010-10-17,Charlotte Bobcats,Dominic McGuire,stress fracture in left shin (out indefinitely),Dominic McGuire,0.0,0.0,,off,2009,1,shin,lower leg,,,,,,,,,
20,2010-10-18,Golden State Warriors,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely),Lou Amundson,0.0,0.0,,off,2009,1,finger,hand,,,,,,,,,
21,2010-10-19,Phoenix Suns,Josh Childress,fractured right index finger (out indefinitely),Josh Childress,0.0,0.0,,off,2009,1,finger,hand,,,,,,,,,
22,2010-10-22,Miami Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),Mike Miller,0.0,0.0,,off,2009,1,hand,hand,,,,,,,,,
23,2010-10-25,Oklahoma City Thunder,Nick Collison,left knee injury (out indefinitely),Nick Collison,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
24,2010-10-25,Minnesota Timberwolves,Martell Webster,surgery on back (out indefinitely),Martell Webster,0.0,0.0,,off,2009,1,back,torso,,,,,,,,,
25,2010-10-26,Miami Heat,Mario Chalmers,sprained ankle (out indefinitely),Mario Chalmers,1.0,0.0,,regular,2010,1,ankle,lower leg,PG,24.0,Miami Heat,70.0,28.0,22.6,167.0,1582.0,4796.4
26,2010-10-27,Milwaukee Bucks,Jon Brockman,sprained left ankle (DNP),Jon Brockman,1.0,0.0,,regular,2010,1,ankle,lower leg,C,23.0,Milwaukee Bucks,63.0,6.0,10.7,52.0,674.0999999999999,655.1999999999998
27,2010-10-27,Milwaukee Bucks,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP),Luc Mbah a Moute,1.0,0.0,,regular,2010,1,ankle,lower leg,PF,24.0,Milwaukee Bucks,79.0,52.0,26.5,162.0,2093.5,4162.2
28,2010-10-28,Atlanta Hawks,Maurice Evans,right knee inflammation (DTD),Maurice Evans,1.0,0.0,,regular,2010,2,knee,knee,SF,32.0,TOT,73.0,24.0,21.2,521.0,1547.6,9960.1
29,2010-10-28,San Antonio Spurs,Matt Bonner,sprained right ankle (DTD),Matt Bonner,1.0,0.0,,regular,2010,2,ankle,lower leg,PF,30.0,San Antonio Spurs,66.0,1.0,21.7,456.0,1432.2,8161.7
30,2010-10-28,Memphis Grizzlies,Zach Randolph,back injury (DTD),Zach Randolph,1.0,0.0,,regular,2010,2,back,torso,PF,29.0,Memphis Grizzlies,75.0,74.0,36.3,595.0,2722.5,18440.3
31,2010-10-29,Cleveland Cavaliers,Anderson Varejao,placed on IL for family reasons,Anderson Varejao,1.0,0.0,,regular,2010,2,personal reasons,healthy inactive,C,28.0,Cleveland Cavaliers,31.0,31.0,32.1,459.0,995.1,10954.400000000001
32,2010-10-29,Detroit Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum,1.0,0.0,,regular,2010,2,hamstring,upper leg,PG,28.0,Detroit Pistons,61.0,5.0,18.4,139.0,1122.3999999999999,2713.2
33,2010-10-30,Detroit Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum,1.0,0.0,,regular,2010,3,hamstring,upper leg,PG,28.0,Detroit Pistons,61.0,5.0,18.4,139.0,1122.3999999999999,2713.2
34,2010-11-02,Detroit Pistons,Richard Hamilton,sore right foot (DNP),Richard Hamilton,1.0,0.0,,regular,2010,4,foot,foot,SG,32.0,Detroit Pistons,55.0,39.0,27.2,908.0,1496.0,31070.90000000001
35,2010-11-02,Detroit Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum,1.0,0.0,,regular,2010,4,hamstring,upper leg,PG,28.0,Detroit Pistons,61.0,5.0,18.4,139.0,1122.3999999999999,2713.2
36,2010-11-03,Detroit Pistons,Richard Hamilton,sore right foot (DNP),Richard Hamilton,1.0,0.0,,regular,2010,5,foot,foot,SG,32.0,Detroit Pistons,55.0,39.0,27.2,908.0,1496.0,31070.90000000001
37,2010-11-03,Detroit Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum,1.0,0.0,,regular,2010,5,hamstring,upper leg,PG,28.0,Detroit Pistons,61.0,5.0,18.4,139.0,1122.3999999999999,2713.2
38,2010-11-03,Denver Nuggets,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),Nene Hilario,1.0,0.0,,regular,2010,4,groin,upper leg,C,28.0,Denver Nuggets,75.0,75.0,30.5,491.0,2287.5,14458.0
39,2010-11-03,Golden State Warriors,Brandan Wright,stomach virus (DTD),Brandan Wright,1.0,0.0,,regular,2010,4,sick,sick,PF,23.0,TOT,37.0,2.0,10.2,77.0,377.4,1062.6
40,2010-11-03,Utah Jazz,Jeremy Evans,sprained right wrist (DNP),Jeremy Evans,1.0,0.0,,regular,2010,4,wrist,arm,SF,23.0,Utah Jazz,49.0,3.0,9.4,0.0,460.6,0.0
41,2010-11-03,Atlanta Hawks,Jamal Crawford,turf toe (DNP),Jamal Crawford,1.0,0.0,,regular,2010,5,toe,foot,SG,30.0,Atlanta Hawks,76.0,0.0,30.2,687.0,2295.2,22246.600000000002
42,2010-11-03,Utah Jazz,Kyrylo Fesenko,stomach illness (DNP),Kyrylo Fesenko,1.0,0.0,,regular,2010,4,sick,sick,C,24.0,Utah Jazz,53.0,1.0,8.6,89.0,455.79999999999995,813.3
43,2010-11-04,Portland Trailblazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",Elliot Williams,1.0,0.0,,regular,2010,6,knee,knee,,,,,,,,,
44,2010-11-05,Milwaukee Bucks,Andrew Bogut,migraine headache (DNP),Andrew Bogut,1.0,0.0,,regular,2010,6,sick,sick,C,26.0,Milwaukee Bucks,65.0,65.0,35.3,336.0,2294.5,10848.5
45,2010-11-05,Atlanta Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams,1.0,0.0,,regular,2010,6,knee,knee,SF,24.0,Atlanta Hawks,65.0,52.0,28.7,389.0,1865.5,12099.5
46,2010-11-05,Utah Jazz,Jeremy Evans,sprained right ankle (DNP),Jeremy Evans,1.0,0.0,,regular,2010,5,ankle,lower leg,SF,23.0,Utah Jazz,49.0,3.0,9.4,0.0,460.6,0.0
47,2010-11-05,Denver Nuggets,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),Nene Hilario,1.0,0.0,,regular,2010,5,groin,upper leg,C,28.0,Denver Nuggets,75.0,75.0,30.5,491.0,2287.5,14458.0
48,2010-11-06,San Antonio Spurs,James Anderson,placed on IL for personal reasons,James Anderson,1.0,0.0,,regular,2010,5,personal reasons,healthy inactive,SF,21.0,San Antonio Spurs,26.0,2.0,11.0,0.0,286.0,0.0
49,2010-11-06,Toronto Raptors,Sonny Weems,ankle injury (DTD),Sonny Weems,1.0,0.0,,regular,2010,6,ankle,lower leg,SF,24.0,Toronto Raptors,59.0,28.0,23.9,81.0,1410.1,1421.4
50,2010-11-06,Denver Nuggets,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),Nene Hilario,1.0,0.0,,regular,2010,6,groin,upper leg,C,28.0,Denver Nuggets,75.0,75.0,30.5,491.0,2287.5,14458.0
51,2010-11-06,Portland Trailblazers,Rudy Fernandez,back injury (DNP),Rudy Fernandez,1.0,0.0,,regular,2010,7,back,torso,SG,25.0,Portland Trailblazers,78.0,3.0,23.3,152.0,1817.4,3715.9999999999995
52,2010-11-06,Sacramento Kings,Luther Head,placed on IL for personal reasons,Luther Head,1.0,0.0,,regular,2010,6,personal reasons,healthy inactive,PG,28.0,Sacramento Kings,36.0,14.0,16.3,324.0,586.8000000000001,7396.7
53,2010-11-07,Atlanta Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams,1.0,0.0,,regular,2010,7,knee,knee,SF,24.0,Atlanta Hawks,65.0,52.0,28.7,389.0,1865.5,12099.5
54,2010-11-08,Atlanta Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams,1.0,0.0,,regular,2010,8,knee,knee,SF,24.0,Atlanta Hawks,65.0,52.0,28.7,389.0,1865.5,12099.5
55,2010-11-08,Orlando Magic,Mickael Pietrus,DNP,Mickael Pietrus,1.0,0.0,,regular,2010,6,other,other,SG-SF,28.0,TOT,57.0,4.0,19.4,488.0,1105.8,10643.4
56,2010-11-09,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,8,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
57,2010-11-10,Los Angeles Clippers,Eric Gordon,sore left shoulder (DNP),Eric Gordon,1.0,0.0,,regular,2010,9,shoulder,torso,SG,22.0,Los Angeles Clippers,56.0,56.0,37.7,140.0,2111.2000000000003,4907.4
58,2010-11-10,Minnesota Timberwolves,Wayne Ellington,thigh injury (DTD),Wayne Ellington,1.0,0.0,,regular,2010,9,quad,upper leg,SG,23.0,Minnesota Timberwolves,62.0,8.0,19.0,76.0,1178.0,1383.1999999999998
59,2010-11-10,Toronto Raptors,David Andersen,flu (DTD),David Andersen,1.0,0.0,,regular,2010,8,sick,sick,PF,30.0,TOT,40.0,0.0,9.3,63.0,372.0,888.3
60,2010-11-10,Los Angeles Clippers,Chris Kaman,sprained left ankle (DNP),Chris Kaman,1.0,0.0,,regular,2010,9,ankle,lower leg,C,28.0,Los Angeles Clippers,32.0,15.0,26.2,472.0,838.4,14145.3
61,2010-11-10,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,9,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
62,2010-11-10,Philadelphia 76ers,Jason Kapono,placed on IL for personal reasons,Jason Kapono,1.0,0.0,,regular,2010,8,personal reasons,healthy inactive,SF,29.0,Philadelphia 76ers,24.0,2.0,4.7,468.0,112.80000000000001,8917.4
63,2010-11-10,Atlanta Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams,1.0,0.0,,regular,2010,9,knee,knee,SF,24.0,Atlanta Hawks,65.0,52.0,28.7,389.0,1865.5,12099.5
64,2010-11-11,Boston Celtics,Jermaine O'Neal,sore left knee (DNP),Jermaine O'Neal,1.0,0.0,,regular,2010,9,knee,knee,C,32.0,Boston Celtics,24.0,10.0,18.0,944.0,432.0,26741.0
65,2010-11-11,Houston Rockets,Yao Ming,sprained left ankle (DTD),Yao Ming,1.0,0.0,,regular,2010,8,ankle,lower leg,C,30.0,Houston Rockets,5.0,5.0,18.2,509.0,91.0,16708.2
66,2010-11-11,San Antonio Spurs,James Anderson,stress fracture in right foot (out indefinitely),James Anderson,1.0,0.0,,regular,2010,8,foot,foot,SF,21.0,San Antonio Spurs,26.0,2.0,11.0,0.0,286.0,0.0
67,2010-11-11,Golden State Warriors,David Lee,placed on IL with infection in left elbow,David Lee,1.0,0.0,,regular,2010,9,sick,sick,PF,27.0,Golden State Warriors,73.0,73.0,36.1,368.0,2635.3,11066.0
68,2010-11-12,Oklahoma City Thunder,Royal Ivey,placed on IL for personal reasons,Royal Ivey,1.0,0.0,,regular,2010,8,personal reasons,healthy inactive,SG,29.0,Oklahoma City Thunder,25.0,0.0,6.2,387.0,155.0,5005.600000000001
69,2010-11-12,Golden State Warriors,David Lee,surgery on left elbow to repair infection,David Lee,1.0,0.0,,regular,2010,10,sick,sick,PF,27.0,Golden State Warriors,73.0,73.0,36.1,368.0,2635.3,11066.0
70,2010-11-12,Los Angeles Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye,1.0,0.0,,regular,2010,10,hamstring,upper leg,SG,27.0,Los Angeles Clippers,63.0,24.0,24.6,261.0,1549.8000000000002,7295.499999999999
71,2010-11-13,Toronto Raptors,Reggie Evans,flu-like symptoms (DNP),Reggie Evans,1.0,0.0,,regular,2010,10,sick,sick,PF,30.0,Toronto Raptors,30.0,18.0,26.6,569.0,798.0,10840.400000000001
72,2010-11-13,Boston Celtics,Jermaine O'Neal,sore left knee (DNP),Jermaine O'Neal,1.0,0.0,,regular,2010,10,knee,knee,C,32.0,Boston Celtics,24.0,10.0,18.0,944.0,432.0,26741.0
73,2010-11-13,Charlotte Bobcats,Tyrus Thomas,placed on IL (death in family),Tyrus Thomas,1.0,0.0,,regular,2010,10,personal reasons,healthy inactive,C,24.0,Charlotte Bobcats,41.0,2.0,21.0,300.0,861.0,6075.0
74,2010-11-13,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,10,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
75,2010-11-14,Houston Rockets,Chase Budinger,sprained left ankle (DNP),Chase Budinger,1.0,0.0,,regular,2010,9,ankle,lower leg,SF,22.0,Houston Rockets,78.0,22.0,22.3,74.0,1739.4,1487.4
76,2010-11-14,Minnesota Timberwolves,Nikola Pekovic,sprained left ankle (DNP),Nikola Pekovic,1.0,0.0,,regular,2010,11,ankle,lower leg,C,25.0,Minnesota Timberwolves,65.0,11.0,13.6,0.0,884.0,0.0
77,2010-11-14,Minnesota Timberwolves,Wayne Ellington,bruised left thigh (DNP),Wayne Ellington,1.0,0.0,,regular,2010,11,quad,upper leg,SG,23.0,Minnesota Timberwolves,62.0,8.0,19.0,76.0,1178.0,1383.1999999999998
78,2010-11-15,Minnesota Timberwolves,Wayne Ellington,bruised left thigh (DNP),Wayne Ellington,1.0,0.0,,regular,2010,12,quad,upper leg,SG,23.0,Minnesota Timberwolves,62.0,8.0,19.0,76.0,1178.0,1383.1999999999998
79,2010-11-15,Los Angeles Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye,1.0,0.0,,regular,2010,11,hamstring,upper leg,SG,27.0,Los Angeles Clippers,63.0,24.0,24.6,261.0,1549.8000000000002,7295.499999999999
80,2010-11-15,Utah Jazz,Raja Bell,strained left abductor (DNP),Raja Bell,1.0,0.0,,regular,2010,11,abdominal,torso,SG,34.0,Utah Jazz,68.0,63.0,30.8,672.0,2094.4,18682.7
81,2010-11-15,Minnesota Timberwolves,Nikola Pekovic,left foot injury (DNP),Nikola Pekovic,1.0,0.0,,regular,2010,12,foot,foot,C,25.0,Minnesota Timberwolves,65.0,11.0,13.6,0.0,884.0,0.0
82,2010-11-16,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,11,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
83,2010-11-16,Portland Trailblazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1.0,0.0,,regular,2010,12,knee,knee,SG,26.0,Portland Trailblazers,47.0,23.0,27.9,283.0,1311.3,10448.500000000002
84,2010-11-17,Los Angeles Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye,1.0,0.0,,regular,2010,12,hamstring,upper leg,SG,27.0,Los Angeles Clippers,63.0,24.0,24.6,261.0,1549.8000000000002,7295.499999999999
85,2010-11-17,Utah Jazz,Kyrylo Fesenko,dizziness (DNP),Kyrylo Fesenko,1.0,0.0,,regular,2010,12,sick,sick,C,24.0,Utah Jazz,53.0,1.0,8.6,89.0,455.79999999999995,813.3
86,2010-11-17,Houston Rockets,Chase Budinger,sprained left ankle (DNP),Chase Budinger,1.0,0.0,,regular,2010,11,ankle,lower leg,SF,22.0,Houston Rockets,78.0,22.0,22.3,74.0,1739.4,1487.4
87,2010-11-18,Portland Trailblazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1.0,0.0,,regular,2010,13,knee,knee,SG,26.0,Portland Trailblazers,47.0,23.0,27.9,283.0,1311.3,10448.500000000002
88,2010-11-18,Orlando Magic,Jason Williams,foot injury (DTD),Jason Williams,3.0,0.0,,regular,2010,11,foot,foot,PG,35.0,TOT,27.0,0.0,10.9,828.0,294.3,24632.0
89,2010-11-18,Indiana Pacers,Mike Dunleavy Jr.,placed on IL with birth of child,Mike Dunleavy,1.0,0.0,,regular,2010,10,personal reasons,healthy inactive,SG,30.0,Indiana Pacers,61.0,44.0,27.6,566.0,1683.6000000000001,16296.999999999998
90,2010-11-19,Portland Trailblazers,Greg Oden,mircofracture surgery on left knee (out for season),Greg Oden,1.0,0.0,,regular,2010,14,knee,knee,,,,,,,,,
91,2010-11-19,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,12,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
92,2010-11-19,Miami Heat,Juwan Howard,broken nose (DNP),Juwan Howard,1.0,0.0,,regular,2010,12,nose,head,PF,37.0,Miami Heat,57.0,0.0,10.4,1145.0,592.8000000000001,36592.7
93,2010-11-19,New York Knicks,Timofey Mozgov,left calf injury (DNP),Timofey Mozgov,1.0,0.0,,regular,2010,13,calf,lower leg,C,24.0,TOT,45.0,14.0,11.6,0.0,522.0,0.0
94,2010-11-19,Golden State Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright,1.0,0.0,,regular,2010,12,back,torso,PF,23.0,TOT,37.0,2.0,10.2,77.0,377.4,1062.6
95,2010-11-20,Phoenix Suns,Steve Nash,strained groin (DNP),Steve Nash,1.0,0.0,,regular,2010,13,groin,upper leg,PG,36.0,Phoenix Suns,75.0,75.0,33.3,1133.0,2497.5,35903.9
96,2010-11-20,Portland Trailblazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1.0,0.0,,regular,2010,14,knee,knee,SG,26.0,Portland Trailblazers,47.0,23.0,27.9,283.0,1311.3,10448.500000000002
97,2010-11-20,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,13,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
98,2010-11-21,Washington Wizards,John Wall (a),sprained left foot (DNP),John Wall,1.0,0.0,,regular,2010,12,foot,foot,PG,20.0,Washington Wizards,69.0,64.0,37.8,0.0,2608.2,0.0
99,2010-11-22,New Orleans Hornets,Marcus Thornton (T.),DNP,Marcus Thornton,1.0,0.0,,regular,2010,13,other,other,SG,23.0,TOT,73.0,23.0,24.3,73.0,1773.9,1868.8000000000002
100,2010-11-22,Golden State Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright,1.0,0.0,,regular,2010,14,back,torso,PF,23.0,TOT,37.0,2.0,10.2,77.0,377.4,1062.6
101,2010-11-23,Philadelphia 76ers,Jason Kapono,placed on IL for personal reasons,Jason Kapono,1.0,0.0,,regular,2010,14,personal reasons,healthy inactive,SF,29.0,Philadelphia 76ers,24.0,2.0,4.7,468.0,112.80000000000001,8917.4
102,2010-11-23,Miami Heat,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),Udonis Haslem,1.0,0.0,,regular,2010,15,foot,foot,PF,30.0,Miami Heat,13.0,0.0,26.5,583.0,344.5,17816.600000000002
103,2010-11-24,Golden State Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright,1.0,0.0,,regular,2010,15,back,torso,PF,23.0,TOT,37.0,2.0,10.2,77.0,377.4,1062.6
104,2010-11-24,Boston Celtics,Delonte West,broken right wrist (out indefinitely),Delonte West,1.0,0.0,,regular,2010,15,wrist,arm,PG,27.0,Boston Celtics,24.0,2.0,18.9,409.0,453.59999999999997,11758.9
105,2010-11-24,Milwaukee Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut,1.0,0.0,,regular,2010,14,back,torso,C,26.0,Milwaukee Bucks,65.0,65.0,35.3,336.0,2294.5,10848.5
106,2010-11-24,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,14,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
107,2010-11-24,Chicago Bulls,Taj Gibson,right ankle/foot injury (DNP),Taj Gibson,1.0,0.0,,regular,2010,13,foot,foot,PF,25.0,Chicago Bulls,80.0,19.0,21.8,87.0,1744.0,2350.7999999999997
108,2010-11-26,Milwaukee Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut,1.0,0.0,,regular,2010,15,back,torso,C,26.0,Milwaukee Bucks,65.0,65.0,35.3,336.0,2294.5,10848.5
109,2010-11-26,Milwaukee Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino,1.0,0.0,,regular,2010,15,neck,head,SF,28.0,Milwaukee Bucks,49.0,40.0,32.4,373.0,1587.6,7276.5
110,2010-11-26,Memphis Grizzlies,Hamed Haddadi,personal reasons (DTD),Hamed Haddadi,2.0,0.0,,regular,2010,16,personal reasons,healthy inactive,C,25.0,Memphis Grizzlies,31.0,0.0,5.4,55.0,167.4,360.9000000000001
111,2010-11-26,Toronto Raptors,Reggie Evans,broken right foot (out indefinitely),Reggie Evans,1.0,0.0,,regular,2010,16,foot,foot,PF,30.0,Toronto Raptors,30.0,18.0,26.6,569.0,798.0,10840.400000000001
112,2010-11-26,Golden State Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright,1.0,0.0,,regular,2010,16,back,torso,PF,23.0,TOT,37.0,2.0,10.2,77.0,377.4,1062.6
113,2010-11-27,Washington Wizards,John Wall (a),bruised right knee (P) / sore left knee (CBC) (DNP),John Wall,1.0,0.0,,regular,2010,15,knee,knee,PG,20.0,Washington Wizards,69.0,64.0,37.8,0.0,2608.2,0.0
114,2010-11-27,Milwaukee Bucks,Drew Gooden,plantar fasciitis in left foot (DNP),Drew Gooden,1.0,0.0,,regular,2010,16,foot,foot,PF,29.0,Milwaukee Bucks,35.0,18.0,24.6,624.0,861.0,17287.2
115,2010-11-27,Milwaukee Bucks,Corey Maggette,sore left ankle (DNP),Corey Maggette,1.0,0.0,,regular,2010,16,ankle,lower leg,SF,31.0,Milwaukee Bucks,67.0,18.0,20.9,722.0,1400.3,21096.5
116,2010-11-27,Milwaukee Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut,1.0,0.0,,regular,2010,16,back,torso,C,26.0,Milwaukee Bucks,65.0,65.0,35.3,336.0,2294.5,10848.5
117,2010-11-28,Toronto Raptors,Reggie Evans,broken right foot (DNP),Reggie Evans,1.0,0.0,,regular,2010,17,foot,foot,PF,30.0,Toronto Raptors,30.0,18.0,26.6,569.0,798.0,10840.400000000001
118,2010-11-28,Portland Trailblazers,Sean Marks,sprained right ankle (DNP),Sean Marks,1.0,0.0,,regular,2010,16,ankle,lower leg,C,35.0,Portland Trailblazers,29.0,0.0,7.2,207.0,208.8,2150.9999999999995
119,2010-11-28,Los Angeles Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye,1.0,0.0,,regular,2010,18,hamstring,upper leg,SG,27.0,Los Angeles Clippers,63.0,24.0,24.6,261.0,1549.8000000000002,7295.499999999999
120,2010-11-28,New York Knicks,Toney Douglas,bruised right quadriceps (DNP),Toney Douglas,1.0,0.0,,regular,2010,18,quad,upper leg,SG,24.0,New York Knicks,81.0,9.0,24.3,56.0,1968.3,1086.3999999999999
121,2010-11-28,Los Angeles Lakers,Devin Ebanks,gastroenteritis (DNP),Devin Ebanks,1.0,0.0,,regular,2010,17,sick,sick,SG,21.0,Los Angeles Lakers,20.0,0.0,5.9,0.0,118.0,0.0
122,2010-11-28,Toronto Raptors,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),Peja Stojakovic,1.0,0.0,,regular,2010,17,knee,knee,SF,33.0,TOT,33.0,13.0,18.7,847.0,617.1,29094.399999999998
123,2010-11-29,Washington Wizards,John Wall (a),bruised right knee (P) (DNP),John Wall,1.0,0.0,,regular,2010,16,knee,knee,PG,20.0,Washington Wizards,69.0,64.0,37.8,0.0,2608.2,0.0
124,2010-11-29,Milwaukee Bucks,Drew Gooden,left foot injury (DNP),Drew Gooden,1.0,0.0,,regular,2010,17,foot,foot,PF,29.0,Milwaukee Bucks,35.0,18.0,24.6,624.0,861.0,17287.2
125,2010-11-29,Milwaukee Bucks,Corey Maggette,illness (DNP),Corey Maggette,1.0,0.0,,regular,2010,17,sick,sick,SF,31.0,Milwaukee Bucks,67.0,18.0,20.9,722.0,1400.3,21096.5
126,2010-11-29,Milwaukee Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut,1.0,0.0,,regular,2010,17,back,torso,C,26.0,Milwaukee Bucks,65.0,65.0,35.3,336.0,2294.5,10848.5
